2017112203P数字河道Monitor_Time,Flow(m3/s),FlowVelocity(m/s),WaterLevel(m),WaterDepth(m),WaterWidth(m)
"监测时间：Lan7_2011-10-01_2011-11-01_NDWI_30m",0.0445536,0.232005,3870.12,0.0751505,6.70820
"监测时间：Lan7_2012-4-01_2012-5-01_NDWI_30m",0.0492266,0.316387,3870.11,0.0655752,3.35410
"监测时间：Lan7_2012-7-01_2012-8-01_NDWI_30m",0.391910,0.403608,3870.23,0.183828,16.7705
"监测时间：Lan7_2012-8-01_2012-9-01_NDWI_30m",3.34355,0.982937,3870.48,0.432451,13.4164
"监测时间：Lan7_2012-9-01_2012-10-01_NDWI_30m",0.391910,0.403608,3870.23,0.183828,16.7705
"监测时间：Lan7_2013-4-01_2013-5-01_NDWI_30m",0.560685,0.343609,3870.24,0.192330,33.5410
"监测时间：Lan7_2013-5-01_2013-6-01_NDWI_30m",0.560685,0.343609,3870.24,0.192330,33.5410
"监测时间：Lan7_2013-6-01_2013-7-01_NDWI_30m",0.329070,0.303318,3870.21,0.167387,30.1869
"监测时间：Lan7_2013-7-01_2013-8-01_NDWI_30m",0.329070,0.303318,3870.21,0.167387,30.1869
"监测时间：Lan7_2013-10-01_2013-11-01_NDWI_30m",0.000000,0.000000,0.000000,0.000000,0.000000
"监测时间：Lan7_2014-1-01_2014-2-01_NDWI_30m",0.000000,0.000000,0.000000,0.000000,0.000000
"监测时间：Lan7_2014-3-01_2014-4-01_NDWI_30m",0.391910,0.403608,3870.23,0.183828,16.7705
"监测时间：Lan7_2014-6-01_2014-7-01_NDWI_30m",0.0492266,0.316387,3870.11,0.0655752,3.35410
"监测时间：Lan7_2014-7-01_2014-8-01_NDWI_30m",0.560685,0.343609,3870.24,0.192330,33.5410
"监测时间：Lan7_2014-8-01_2014-9-01_NDWI_30m",0.560685,0.343609,3870.24,0.192330,33.5410
"监测时间：Lan7_2014-11-01_2014-12-01_NDWI_30m",563.275,4.70738,3873.24,3.19876,57.0197
"监测时间：Lan7_2015-2-01_2015-3-01_NDWI_30m",0.0492266,0.316387,3870.11,0.0655752,3.35410
"监测时间：Lan7_2015-4-01_2015-5-01_NDWI_30m",563.275,4.70738,3873.24,3.19876,57.0197
"监测时间：Lan7_2015-5-01_2015-6-01_NDWI_30m",3.34355,0.982937,3870.48,0.432451,13.4164
"监测时间：Lan7_2015-6-01_2015-7-01_NDWI_30m",0.487036,0.411261,3870.25,0.201023,20.1246
"监测时间：Lan7_2015-7-01_2015-8-01_NDWI_30m",2.29915,0.948876,3870.38,0.338993,10.0623
"监测时间：Lan7_2015-8-01_2015-9-01_NDWI_30m",0.329070,0.303318,3870.21,0.167387,30.1869
"监测时间：Lan7_2015-9-01_2015-10-01_NDWI_30m",0.391910,0.403608,3870.23,0.183828,16.7705
"监测时间：Lan7_2015-10-01_2015-11-01_NDWI_30m",0.0574028,0.153561,3870.15,0.107891,26.8328
"监测时间：Lan7_2016-5-01_2016-6-01_NDWI_30m",0.560685,0.343609,3870.24,0.192330,33.5410
"监测时间：Lan7_2016-7-01_2016-8-01_NDWI_30m",0.0492266,0.316387,3870.11,0.0655752,3.35410
"监测时间：Lan7_2016-9-01_2016-10-01_NDWI_30m",0.329070,0.303318,3870.21,0.167387,30.1869
"监测时间：Lan7_2017-4-01_2017-5-01_NDWI_30m",441.551,4.27759,3872.88,2.83458,43.6033
"监测时间：Lan7_2017-5-01_2017-6-01_NDWI_30m",0.0445536,0.232005,3870.12,0.0751505,6.70820
"监测时间：Lan7_2017-9-01_2017-10-01_NDWI_30m",0.487036,0.411261,3870.25,0.201023,20.1246
"监测时间：Lan7_2017-10-01_2017-11-01_NDWI_30m",41.0881,1.78754,3870.88,0.835554,36.8951
"监测时间：Lan7_2018-4-01_2018-5-01_NDWI_30m",0.329070,0.303318,3870.21,0.167387,30.1869
"监测时间：Lan7_2018-6-01_2018-7-01_NDWI_30m",2.29915,0.948876,3870.38,0.338993,10.0623
"监测时间：Lan7_2018-7-01_2018-8-01_NDWI_30m",0.0492266,0.316387,3870.11,0.0655752,3.35410
"监测时间：Lan7_2018-8-01_2018-9-01_NDWI_30m",0.391910,0.403608,3870.23,0.183828,16.7705
