2017112304p数字河道Monitor_Time,Flow(m3/s),FlowVelocity(m/s),WaterLevel(m),WaterDepth(m),WaterWidth(m)
监测时间：Lan7_1999-7-01_1999-8-01_NDWI_30m,9.76484,0.959063,3129.41,0.639848,85
监测时间：Lan7_1999-9-01_1999-10-01_NDWI_30m,0.521192,0.441757,3128.97,0.20006,15
监测时间：Lan7_2000-4-01_2000-5-01_NDWI_30m,0,0,0,0,0
监测时间：Lan7_2000-5-01_2000-6-01_NDWI_30m,4.86944,0.959393,3129.19,0.42424,20
监测时间：Lan7_2000-8-01_2000-9-01_NDWI_30m,54.8572,1.93391,3129.98,1.21254,40
监测时间：Lan7_2000-9-01_2000-10-01_NDWI_30m,4.86944,0.959393,3129.19,0.42424,20
监测时间：Lan7_2000-10-01_2000-11-01_NDWI_30m,14.6782,1.36412,3129.45,0.684036,25
监测时间：Lan7_2001-3-01_2001-4-01_NDWI_30m,15.1532,1.10691,3129.55,0.785688,45
监测时间：Lan7_2001-4-01_2001-5-01_NDWI_30m,0.521192,0.441757,3128.97,0.20006,15
监测时间：Lan7_2001-6-01_2001-7-01_NDWI_30m,0.110001,0.283957,3128.9,0.133604,10
监测时间：Lan7_2001-9-01_2001-10-01_NDWI_30m,0.521192,0.441757,3128.97,0.20006,15
监测时间：Lan7_2001-10-01_2001-11-01_NDWI_30m,14.6782,1.36412,3129.45,0.684036,25
监测时间：Lan7_2002-8-01_2002-9-01_NDWI_30m,0.521192,0.441757,3128.97,0.20006,15
监测时间：Lan7_2002-10-01_2002-11-01_NDWI_30m,0.110001,0.283957,3128.9,0.133604,10
监测时间：Lan7_2003-5-01_2003-6-01_NDWI_30m,42.0011,1.35111,3129.86,1.08786,75
监测时间：Lan7_2003-9-01_2003-10-01_NDWI_30m,35.1534,1.69263,3129.77,1.00528,35
监测时间：Lan7_2004-8-01_2004-9-01_NDWI_30m,0.110001,0.283957,3128.9,0.133604,10
监测时间：Lan7_2004-9-01_2004-10-01_NDWI_30m,54.8572,1.93391,3129.98,1.21254,40
监测时间：Lan7_2004-10-01_2004-11-01_NDWI_30m,0.521192,0.441757,3128.97,0.20006,15
监测时间：Lan7_2004-11-01_2004-12-01_NDWI_30m,0.521192,0.441757,3128.97,0.20006,15
监测时间：Lan7_2005-4-01_2005-5-01_NDWI_30m,0.161706,0.429759,3128.9,0.133604,5
监测时间：Lan7_2005-6-01_2005-7-01_NDWI_30m,15.1532,1.10691,3129.55,0.785688,45
监测时间：Lan7_2005-7-01_2005-8-01_NDWI_30m,0.521192,0.441757,3128.97,0.20006,15
监测时间：Lan7_2005-8-01_2005-9-01_NDWI_30m,35.1534,1.69263,3129.77,1.00528,35
监测时间：Lan7_2006-4-01_2006-5-01_NDWI_30m,35.1534,1.69263,3129.77,1.00528,35
监测时间：Lan7_2006-5-01_2006-6-01_NDWI_30m,9.76484,0.959063,3129.41,0.639848,85
监测时间：Lan7_2006-7-01_2006-8-01_NDWI_30m,4.86944,0.959393,3129.19,0.42424,20
监测时间：Lan7_2006-8-01_2006-9-01_NDWI_30m,15.1532,1.10691,3129.55,0.785688,45
监测时间：Lan7_2006-10-01_2006-11-01_NDWI_30m,42.0011,1.35111,3129.86,1.08786,75
监测时间：Lan7_2007-7-01_2007-8-01_NDWI_30m,14.6782,1.36412,3129.45,0.684036,25
监测时间：Lan7_2007-9-01_2007-10-01_NDWI_30m,35.1534,1.69263,3129.77,1.00528,35
监测时间：Lan7_2007-11-01_2007-12-01_NDWI_30m,35.1534,1.69263,3129.77,1.00528,35
监测时间：Lan7_2008-6-01_2008-7-01_NDWI_30m,4.86944,0.959393,3129.19,0.42424,20
监测时间：Lan7_2008-7-01_2008-8-01_NDWI_30m,0.521192,0.441757,3128.97,0.20006,15
监测时间：Lan7_2008-9-01_2008-10-01_NDWI_30m,0.110001,0.283957,3128.9,0.133604,10
监测时间：Lan7_2008-10-01_2008-11-01_NDWI_30m,14.6782,1.36412,3129.45,0.684036,25
监测时间：Lan7_2009-5-01_2009-6-01_NDWI_30m,15.1532,1.10691,3129.55,0.785688,45
监测时间：Lan7_2009-9-01_2009-10-01_NDWI_30m,0,0,0,0,0
监测时间：Lan7_2011-9-01_2011-10-01_NDWI_30m,12.1315,1.0332,3129.39,0.617248,115
监测时间：Lan7_2011-10-01_2011-11-01_NDWI_30m,19.4018,1.02163,3129.67,0.899756,70
监测时间：Lan7_2012-5-01_2012-6-01_NDWI_30m,9.76484,0.959063,3129.41,0.639848,85
监测时间：Lan7_2012-6-01_2012-7-01_NDWI_30m,0.521192,0.441757,3128.97,0.20006,15
监测时间：Lan7_2012-9-01_2012-10-01_NDWI_30m,15.1532,1.10691,3129.55,0.785688,45
监测时间：Lan7_2012-11-01_2012-12-01_NDWI_30m,9.76484,0.959063,3129.41,0.639848,85
监测时间：Lan7_2013-4-01_2013-5-01_NDWI_30m,4.86944,0.959393,3129.19,0.42424,20
监测时间：Lan7_2013-7-01_2013-8-01_NDWI_30m,14.6782,1.36412,3129.45,0.684036,25
监测时间：Lan7_2013-10-01_2013-11-01_NDWI_30m,42.0011,1.35111,3129.86,1.08786,75
监测时间：Lan7_2014-6-01_2014-7-01_NDWI_30m,0.521192,0.441757,3128.97,0.20006,15
监测时间：Lan7_2014-7-01_2014-8-01_NDWI_30m,0.110001,0.283957,3128.9,0.133604,10
监测时间：Lan7_2015-5-01_2015-6-01_NDWI_30m,0,0,0,0,0
监测时间：Lan7_2015-8-01_2015-9-01_NDWI_30m,49.2949,1.20852,3129.75,0.980832,125
监测时间：Lan7_2016-7-01_2016-8-01_NDWI_30m,4.86944,0.959393,3129.19,0.42424,20
监测时间：Lan7_2016-9-01_2016-10-01_NDWI_30m,14.6782,1.36412,3129.45,0.684036,25
监测时间：Lan7_2017-4-01_2017-5-01_NDWI_30m,9.76484,0.959063,3129.41,0.639848,85
监测时间：Lan7_2017-5-01_2017-6-01_NDWI_30m,15.1532,1.10691,3129.55,0.785688,45
监测时间：Lan7_2017-9-01_2017-10-01_NDWI_30m,0.110001,0.283957,3128.9,0.133604,10
监测时间：Lan7_2017-10-01_2017-11-01_NDWI_30m,15.1532,1.10691,3129.55,0.785688,45
监测时间：Lan7_2017-11-01_2017-12-01_NDWI_30m,42.0011,1.35111,3129.86,1.08786,75
监测时间：Lan7_2018-4-01_2018-5-01_NDWI_30m,0.161706,0.429759,3128.9,0.133604,5
监测时间：Lan7_2018-8-01_2018-9-01_NDWI_30m,4.86944,0.959393,3129.19,0.42424,20
监测时间：Lan7_2018-9-01_2018-10-01_NDWI_30m,54.8572,1.93391,3129.98,1.21254,40
监测时间：Lan7_2018-10-01_2018-11-01_NDWI_30m,14.6782,1.36412,3129.45,0.684036,25
监测时间：Lan7_2019-3-01_2019-4-01_NDWI_30m,108.496,1.50771,3129.96,1.19396,145
监测时间：Lan7_2019-4-01_2019-5-01_NDWI_30m,14.6782,1.36412,3129.45,0.684036,25
监测时间：Lan7_2019-8-01_2019-9-01_NDWI_30m,35.1534,1.69263,3129.77,1.00528,35
监测时间：Lan7_2019-9-01_2019-10-01_NDWI_30m,54.8572,1.93391,3129.98,1.21254,40
