2017112201p干流数字河道,监测时间：Lan7_2002-8-11_2002-8-20_NDWI_30m
"RS river width",48.82400729385805
"slop",0.003154492400000000
"adjusted slop",0.003154492400000000
"roughness coefficient",0.03000000000000000
" adjusted roughness coefficient",0.03000000000000000
"Water Level",4469.848278666677
"Water Depth",1.266984000005323
"velocity of flow",1.657381838013635
" runoff",67.72199269515227
"factor of velocity",1.000000000000000
"Width error%",2.000000000000000
"section smooth factor",150.0000000000000
"Section area",40.86082708394874
"wetted perimeter length",49.05559183053155
"hydraulic radius",0.8329494265425926
