2017112201p干流数字河道,监测时间：Lan7_2018-7-01_2018-8-01_NDWI_30m
"RS river width",69.74858184836864
"slop",0.003154492400000000
"adjusted slop",0.003154492400000000
"roughness coefficient",0.03000000000000000
" adjusted roughness coefficient",0.03000000000000000
"Water Level",4469.964762666671
"Water Depth",1.383467999999084
"velocity of flow",1.464315291010882
" runoff",70.38419503296552
"factor of velocity",1.000000000000000
"Width error%",2.000000000000000
"section smooth factor",150.0000000000000
"Section area",48.06628426612700
"wetted perimeter length",69.48705111797088
"hydraulic radius",0.6917300920501431
